credit_score,annual_income,loan_amount,loan_term_months,employment_status,property_ownership,debt_to_income_ratio,num_dependents,monthly_income,estimated_monthly_payment,total_dti,loan_eligibility
648,179215,15167,60,Employed,Mortgage,0.0492973539916833,5,14934.58,307.53,0.0699,0
349,73938,45560,36,Employed,Own,0.4801350203598816,4,6161.5,1427.68,0.7118,0
635,99089,38323,24,Employed,Own,0.3653520817143733,0,8257.42,1733.25,0.5753,0
386,187870,2565,60,Employed,Rent,0.3541902983428425,2,15655.83,52.01,0.3575,0
486,177740,44091,60,Self-employed,Mortgage,0.5602468161033791,4,14811.67,894.01,0.6206,0
489,121166,12581,12,Employed,Own,0.0618084681433673,4,10097.17,1094.4,0.1702,0
714,123358,26705,12,Employed,Rent,0.1746441982915279,0,10279.83,2323.03,0.4006,1
333,85511,18410,60,Self-employed,Own,0.4941086393584717,2,7125.92,373.29,0.5465,0
329,101588,45493,60,Employed,Own,0.1480114355773023,5,8465.67,922.43,0.257,0
357,63654,11939,12,Employed,Own,0.041673801955865,5,5304.5,1038.55,0.2375,0
562,138543,39391,120,Employed,Own,0.2326289231092152,1,11545.25,477.92,0.274,0
430,169830,23804,36,Employed,Mortgage,0.0994513089460851,3,14152.5,745.93,0.1522,0
484,106669,12724,36,Self-employed,Mortgage,0.052104596565251,2,8889.08,398.72,0.097,0
622,61559,28935,24,Employed,Rent,0.4980692161447765,2,5129.92,1308.65,0.7532,0
335,70064,44366,24,Employed,Own,0.5928125692428067,2,5838.67,2006.55,0.9365,0
331,97196,41022,12,Employed,Mortgage,0.0504990003856625,2,8099.67,3568.44,0.4911,0
808,177125,4621,120,Employed,Own,0.4526631509778053,0,14760.42,56.07,0.4565,1
796,187069,3059,84,Employed,Own,0.2039603399654103,1,15589.08,47.68,0.207,1
399,121942,10925,60,Retired,Mortgage,0.0338449563829358,5,10161.83,221.52,0.0556,0
369,113343,4037,120,Employed,Rent,0.1515908977894548,0,9445.25,48.98,0.1568,0
640,39832,16560,60,Employed,Mortgage,0.4790993431976625,4,3319.33,335.78,0.5803,0
700,186541,45534,60,Employed,Own,0.0490352035058684,2,15545.08,923.27,0.1084,1
544,156006,41711,60,Self-employed,Own,0.5129034108606808,3,13000.5,845.75,0.578,0
385,132975,21969,36,Retired,Rent,0.0801278162586319,5,11081.25,688.43,0.1423,0
704,78974,21759,120,Self-employed,Own,0.0174345878878518,4,6581.17,264.0,0.0575,1
535,46123,10311,36,Retired,Own,0.3974469740762377,5,3843.58,323.11,0.4815,0
572,197741,3923,36,Unemployed,Rent,0.3950271372589644,2,16478.42,122.93,0.4025,0
516,41144,23735,24,Employed,Own,0.0565825370981628,4,3428.67,1073.47,0.3697,0
789,117975,10476,120,Employed,Rent,0.2799271421302843,5,9831.25,127.1,0.2929,1
763,154486,37323,36,Employed,Own,0.3832665654392692,2,12873.83,1169.57,0.4741,1
567,57194,27438,36,Self-employed,Rent,0.3053136380942786,3,4766.17,859.81,0.4857,0
304,26237,36075,12,Employed,Mortgage,0.5487643542320998,2,2186.42,3138.11,1.984,0
816,191831,39936,36,Employed,Own,0.2964782233510585,4,15985.92,1251.45,0.3748,1
